title,text,subject,date,label
Global leaders discuss ceasefire efforts in conflict zones,Global leaders discuss ceasefire efforts in conflict zones. Officials and verified reports confirmed developments related to world affairs and current affairs.,world affairs,2024-06-19,1
Government announces digital education expansion,Government announces digital education expansion. Officials and verified reports confirmed developments related to technology and current affairs.,technology,2025-07-25,1
Global leaders discuss ceasefire efforts in conflict zones,Global leaders discuss ceasefire efforts in conflict zones. Officials and verified reports confirmed developments related to technology and current affairs.,technology,2026-01-09,1
Indian Railways adopts AI-based safety monitoring,Indian Railways adopts AI-based safety monitoring. Officials and verified reports confirmed developments related to war and current affairs.,war,2025-11-23,1
New AI regulations discussed at global summit,New AI regulations discussed at global summit. Officials and verified reports confirmed developments related to war and current affairs.,war,2025-06-11,1
India increases renewable energy investments,India increases renewable energy investments. Officials and verified reports confirmed developments related to world affairs and current affairs.,world affairs,2024-02-23,1
India signs technology cooperation agreement with Japan,India signs technology cooperation agreement with Japan. Officials and verified reports confirmed developments related to world affairs and current affairs.,world affairs,2024-01-11,1
Global leaders discuss ceasefire efforts in conflict zones,Global leaders discuss ceasefire efforts in conflict zones. Officials and verified reports confirmed developments related to india and current affairs.,india,2025-08-19,1
Indian Railways adopts AI-based safety monitoring,Indian Railways adopts AI-based safety monitoring. Officials and verified reports confirmed developments related to world affairs and current affairs.,world affairs,2025-08-12,1
ISRO successfully tests reusable launch technology,ISRO successfully tests reusable launch technology. Officials and verified reports confirmed developments related to india and current affairs.,india,2026-03-26,1
New AI regulations discussed at global summit,New AI regulations discussed at global summit. Officials and verified reports confirmed developments related to technology and current affairs.,technology,2025-01-29,1
ISRO successfully tests reusable launch technology,ISRO successfully tests reusable launch technology. Officials and verified reports confirmed developments related to india and current affairs.,india,2024-05-16,1
India signs technology cooperation agreement with Japan,India signs technology cooperation agreement with Japan. Officials and verified reports confirmed developments related to world affairs and current affairs.,world affairs,2025-07-28,1
India signs technology cooperation agreement with Japan,India signs technology cooperation agreement with Japan. Officials and verified reports confirmed developments related to cybersecurity and current affairs.,cybersecurity,2025-03-28,1
Government announces digital education expansion,Government announces digital education expansion. Officials and verified reports confirmed developments related to technology and current affairs.,technology,2025-03-24,1
India signs technology cooperation agreement with Japan,India signs technology cooperation agreement with Japan. Officials and verified reports confirmed developments related to war and current affairs.,war,2025-12-22,1
New AI regulations discussed at global summit,New AI regulations discussed at global summit. Officials and verified reports confirmed developments related to cybersecurity and current affairs.,cybersecurity,2024-10-16,1
ISRO successfully tests reusable launch technology,ISRO successfully tests reusable launch technology. Officials and verified reports confirmed developments related to india and current affairs.,india,2025-11-30,1
India expands semiconductor manufacturing initiative,India expands semiconductor manufacturing initiative. Officials and verified reports confirmed developments related to war and current affairs.,war,2025-09-28,1
India signs technology cooperation agreement with Japan,India signs technology cooperation agreement with Japan. Officials and verified reports confirmed developments related to technology and current affairs.,technology,2025-01-07,1
New AI regulations discussed at global summit,New AI regulations discussed at global summit. Officials and verified reports confirmed developments related to war and current affairs.,war,2025-03-10,1
Government announces digital education expansion,Government announces digital education expansion. Officials and verified reports confirmed developments related to war and current affairs.,war,2024-05-06,1
India launches cybersecurity awareness campaign,India launches cybersecurity awareness campaign. Officials and verified reports confirmed developments related to war and current affairs.,war,2024-07-04,1
India increases renewable energy investments,India increases renewable energy investments. Officials and verified reports confirmed developments related to war and current affairs.,war,2025-04-08,1
India signs technology cooperation agreement with Japan,India signs technology cooperation agreement with Japan. Officials and verified reports confirmed developments related to cybersecurity and current affairs.,cybersecurity,2026-02-15,1
Indian Railways adopts AI-based safety monitoring,Indian Railways adopts AI-based safety monitoring. Officials and verified reports confirmed developments related to india and current affairs.,india,2026-03-04,1
New AI regulations discussed at global summit,New AI regulations discussed at global summit. Officials and verified reports confirmed developments related to world affairs and current affairs.,world affairs,2025-01-09,1
Global leaders discuss ceasefire efforts in conflict zones,Global leaders discuss ceasefire efforts in conflict zones. Officials and verified reports confirmed developments related to war and current affairs.,war,2025-05-08,1
India launches cybersecurity awareness campaign,India launches cybersecurity awareness campaign. Officials and verified reports confirmed developments related to world affairs and current affairs.,world affairs,2024-11-08,1
Global leaders discuss ceasefire efforts in conflict zones,Global leaders discuss ceasefire efforts in conflict zones. Officials and verified reports confirmed developments related to cybersecurity and current affairs.,cybersecurity,2025-09-01,1
ISRO successfully tests reusable launch technology,ISRO successfully tests reusable launch technology. Officials and verified reports confirmed developments related to india and current affairs.,india,2025-08-25,1
Global leaders discuss ceasefire efforts in conflict zones,Global leaders discuss ceasefire efforts in conflict zones. Officials and verified reports confirmed developments related to india and current affairs.,india,2025-01-31,1
India launches cybersecurity awareness campaign,India launches cybersecurity awareness campaign. Officials and verified reports confirmed developments related to war and current affairs.,war,2025-08-15,1
ISRO successfully tests reusable launch technology,ISRO successfully tests reusable launch technology. Officials and verified reports confirmed developments related to india and current affairs.,india,2024-10-18,1
India signs technology cooperation agreement with Japan,India signs technology cooperation agreement with Japan. Officials and verified reports confirmed developments related to war and current affairs.,war,2024-01-30,1
India increases renewable energy investments,India increases renewable energy investments. Officials and verified reports confirmed developments related to world affairs and current affairs.,world affairs,2025-07-25,1
Indian Railways adopts AI-based safety monitoring,Indian Railways adopts AI-based safety monitoring. Officials and verified reports confirmed developments related to cybersecurity and current affairs.,cybersecurity,2024-03-22,1
Government announces digital education expansion,Government announces digital education expansion. Officials and verified reports confirmed developments related to war and current affairs.,war,2024-11-03,1
Global leaders discuss ceasefire efforts in conflict zones,Global leaders discuss ceasefire efforts in conflict zones. Officials and verified reports confirmed developments related to india and current affairs.,india,2025-06-06,1
New AI regulations discussed at global summit,New AI regulations discussed at global summit. Officials and verified reports confirmed developments related to india and current affairs.,india,2024-03-02,1
New AI regulations discussed at global summit,New AI regulations discussed at global summit. Officials and verified reports confirmed developments related to technology and current affairs.,technology,2025-09-27,1
India signs technology cooperation agreement with Japan,India signs technology cooperation agreement with Japan. Officials and verified reports confirmed developments related to india and current affairs.,india,2026-03-30,1
India expands semiconductor manufacturing initiative,India expands semiconductor manufacturing initiative. Officials and verified reports confirmed developments related to cybersecurity and current affairs.,cybersecurity,2024-01-17,1
India expands semiconductor manufacturing initiative,India expands semiconductor manufacturing initiative. Officials and verified reports confirmed developments related to cybersecurity and current affairs.,cybersecurity,2025-06-14,1
Global leaders discuss ceasefire efforts in conflict zones,Global leaders discuss ceasefire efforts in conflict zones. Officials and verified reports confirmed developments related to india and current affairs.,india,2025-06-07,1
India launches cybersecurity awareness campaign,India launches cybersecurity awareness campaign. Officials and verified reports confirmed developments related to cybersecurity and current affairs.,cybersecurity,2026-03-22,1
India expands semiconductor manufacturing initiative,India expands semiconductor manufacturing initiative. Officials and verified reports confirmed developments related to india and current affairs.,india,2025-07-05,1
India expands semiconductor manufacturing initiative,India expands semiconductor manufacturing initiative. Officials and verified reports confirmed developments related to technology and current affairs.,technology,2024-11-04,1
Ukraine receives additional humanitarian assistance,Ukraine receives additional humanitarian assistance. Officials and verified reports confirmed developments related to cybersecurity and current affairs.,cybersecurity,2024-08-26,1
Ukraine receives additional humanitarian assistance,Ukraine receives additional humanitarian assistance. Officials and verified reports confirmed developments related to technology and current affairs.,technology,2025-08-19,1
India signs technology cooperation agreement with Japan,India signs technology cooperation agreement with Japan. Officials and verified reports confirmed developments related to world affairs and current affairs.,world affairs,2024-08-11,1
Indian Railways adopts AI-based safety monitoring,Indian Railways adopts AI-based safety monitoring. Officials and verified reports confirmed developments related to world affairs and current affairs.,world affairs,2024-01-25,1
India launches cybersecurity awareness campaign,India launches cybersecurity awareness campaign. Officials and verified reports confirmed developments related to cybersecurity and current affairs.,cybersecurity,2024-03-20,1
India expands semiconductor manufacturing initiative,India expands semiconductor manufacturing initiative. Officials and verified reports confirmed developments related to india and current affairs.,india,2024-09-25,1
India expands semiconductor manufacturing initiative,India expands semiconductor manufacturing initiative. Officials and verified reports confirmed developments related to technology and current affairs.,technology,2024-03-25,1
India signs technology cooperation agreement with Japan,India signs technology cooperation agreement with Japan. Officials and verified reports confirmed developments related to war and current affairs.,war,2026-03-29,1
Global leaders discuss ceasefire efforts in conflict zones,Global leaders discuss ceasefire efforts in conflict zones. Officials and verified reports confirmed developments related to war and current affairs.,war,2026-04-02,1
Global leaders discuss ceasefire efforts in conflict zones,Global leaders discuss ceasefire efforts in conflict zones. Officials and verified reports confirmed developments related to india and current affairs.,india,2026-03-09,1
New AI regulations discussed at global summit,New AI regulations discussed at global summit. Officials and verified reports confirmed developments related to war and current affairs.,war,2025-10-01,1
India signs technology cooperation agreement with Japan,India signs technology cooperation agreement with Japan. Officials and verified reports confirmed developments related to world affairs and current affairs.,world affairs,2025-09-08,1
India launches cybersecurity awareness campaign,India launches cybersecurity awareness campaign. Officials and verified reports confirmed developments related to world affairs and current affairs.,world affairs,2024-03-12,1
ISRO successfully tests reusable launch technology,ISRO successfully tests reusable launch technology. Officials and verified reports confirmed developments related to world affairs and current affairs.,world affairs,2026-04-26,1
India signs technology cooperation agreement with Japan,India signs technology cooperation agreement with Japan. Officials and verified reports confirmed developments related to india and current affairs.,india,2025-05-02,1
Indian Railways adopts AI-based safety monitoring,Indian Railways adopts AI-based safety monitoring. Officials and verified reports confirmed developments related to technology and current affairs.,technology,2025-08-28,1
Indian Railways adopts AI-based safety monitoring,Indian Railways adopts AI-based safety monitoring. Officials and verified reports confirmed developments related to india and current affairs.,india,2024-12-01,1
New AI regulations discussed at global summit,New AI regulations discussed at global summit. Officials and verified reports confirmed developments related to world affairs and current affairs.,world affairs,2024-10-11,1
Global leaders discuss ceasefire efforts in conflict zones,Global leaders discuss ceasefire efforts in conflict zones. Officials and verified reports confirmed developments related to cybersecurity and current affairs.,cybersecurity,2024-05-31,1
Global leaders discuss ceasefire efforts in conflict zones,Global leaders discuss ceasefire efforts in conflict zones. Officials and verified reports confirmed developments related to cybersecurity and current affairs.,cybersecurity,2024-12-21,1
Ukraine receives additional humanitarian assistance,Ukraine receives additional humanitarian assistance. Officials and verified reports confirmed developments related to war and current affairs.,war,2025-05-10,1
Government announces digital education expansion,Government announces digital education expansion. Officials and verified reports confirmed developments related to world affairs and current affairs.,world affairs,2025-05-27,1
New AI regulations discussed at global summit,New AI regulations discussed at global summit. Officials and verified reports confirmed developments related to technology and current affairs.,technology,2024-11-29,1
India expands semiconductor manufacturing initiative,India expands semiconductor manufacturing initiative. Officials and verified reports confirmed developments related to india and current affairs.,india,2025-04-14,1
Global leaders discuss ceasefire efforts in conflict zones,Global leaders discuss ceasefire efforts in conflict zones. Officials and verified reports confirmed developments related to world affairs and current affairs.,world affairs,2024-10-21,1
India expands semiconductor manufacturing initiative,India expands semiconductor manufacturing initiative. Officials and verified reports confirmed developments related to world affairs and current affairs.,world affairs,2024-07-25,1
India increases renewable energy investments,India increases renewable energy investments. Officials and verified reports confirmed developments related to cybersecurity and current affairs.,cybersecurity,2024-08-14,1
India increases renewable energy investments,India increases renewable energy investments. Officials and verified reports confirmed developments related to india and current affairs.,india,2025-06-19,1
New AI regulations discussed at global summit,New AI regulations discussed at global summit. Officials and verified reports confirmed developments related to india and current affairs.,india,2024-11-07,1
India expands semiconductor manufacturing initiative,India expands semiconductor manufacturing initiative. Officials and verified reports confirmed developments related to technology and current affairs.,technology,2024-06-23,1
ISRO successfully tests reusable launch technology,ISRO successfully tests reusable launch technology. Officials and verified reports confirmed developments related to technology and current affairs.,technology,2025-09-08,1
India increases renewable energy investments,India increases renewable energy investments. Officials and verified reports confirmed developments related to technology and current affairs.,technology,2024-10-29,1
Government announces digital education expansion,Government announces digital education expansion. Officials and verified reports confirmed developments related to cybersecurity and current affairs.,cybersecurity,2025-11-16,1
India launches cybersecurity awareness campaign,India launches cybersecurity awareness campaign. Officials and verified reports confirmed developments related to technology and current affairs.,technology,2024-05-08,1
Ukraine receives additional humanitarian assistance,Ukraine receives additional humanitarian assistance. Officials and verified reports confirmed developments related to cybersecurity and current affairs.,cybersecurity,2025-02-09,1
India signs technology cooperation agreement with Japan,India signs technology cooperation agreement with Japan. Officials and verified reports confirmed developments related to world affairs and current affairs.,world affairs,2025-02-13,1
New AI regulations discussed at global summit,New AI regulations discussed at global summit. Officials and verified reports confirmed developments related to india and current affairs.,india,2024-06-26,1
India launches cybersecurity awareness campaign,India launches cybersecurity awareness campaign. Officials and verified reports confirmed developments related to war and current affairs.,war,2026-03-06,1
Global leaders discuss ceasefire efforts in conflict zones,Global leaders discuss ceasefire efforts in conflict zones. Officials and verified reports confirmed developments related to technology and current affairs.,technology,2025-10-02,1
India signs technology cooperation agreement with Japan,India signs technology cooperation agreement with Japan. Officials and verified reports confirmed developments related to technology and current affairs.,technology,2025-02-10,1
India expands semiconductor manufacturing initiative,India expands semiconductor manufacturing initiative. Officials and verified reports confirmed developments related to technology and current affairs.,technology,2025-12-07,1
Indian Railways adopts AI-based safety monitoring,Indian Railways adopts AI-based safety monitoring. Officials and verified reports confirmed developments related to cybersecurity and current affairs.,cybersecurity,2025-04-24,1
India expands semiconductor manufacturing initiative,India expands semiconductor manufacturing initiative. Officials and verified reports confirmed developments related to war and current affairs.,war,2026-01-10,1
India increases renewable energy investments,India increases renewable energy investments. Officials and verified reports confirmed developments related to world affairs and current affairs.,world affairs,2024-02-19,1
India expands semiconductor manufacturing initiative,India expands semiconductor manufacturing initiative. Officials and verified reports confirmed developments related to world affairs and current affairs.,world affairs,2025-08-09,1
India increases renewable energy investments,India increases renewable energy investments. Officials and verified reports confirmed developments related to war and current affairs.,war,2024-07-18,1
ISRO successfully tests reusable launch technology,ISRO successfully tests reusable launch technology. Officials and verified reports confirmed developments related to technology and current affairs.,technology,2025-03-23,1
India expands semiconductor manufacturing initiative,India expands semiconductor manufacturing initiative. Officials and verified reports confirmed developments related to india and current affairs.,india,2026-02-02,1
Ukraine receives additional humanitarian assistance,Ukraine receives additional humanitarian assistance. Officials and verified reports confirmed developments related to cybersecurity and current affairs.,cybersecurity,2024-01-04,1
India increases renewable energy investments,India increases renewable energy investments. Officials and verified reports confirmed developments related to cybersecurity and current affairs.,cybersecurity,2025-08-14,1
ISRO successfully tests reusable launch technology,ISRO successfully tests reusable launch technology. Officials and verified reports confirmed developments related to world affairs and current affairs.,world affairs,2024-02-19,1
ISRO successfully tests reusable launch technology,ISRO successfully tests reusable launch technology. Officials and verified reports confirmed developments related to world affairs and current affairs.,world affairs,2025-10-18,1
